IP,SLOT,PORT,VLAN,ID_PORT
172.28.114.200,3,5,"2804, 537",12089922-75326182
172.28.114.200,3,6,"2804, 537",12089922-75275052
172.28.114.200,3,7,"2804, 537",12089922-75326183
172.28.114.200,3,8,"2804, 537",12089922-75275053
172.28.114.200,3,9,"2804, 537",12089922-75326184
172.28.114.200,3,10,"2804, 537",12089922-75275054
172.28.114.200,3,11,"2804, 537",12089922-75326185
172.28.114.200,3,12,"2804, 537",12089922-75275055
172.28.114.200,3,13,"2804, 537",12089922-75326186
172.28.114.200,3,14,"2804, 537",12089922-75275056
172.28.114.200,3,15,"2804, 537",12089922-75326187
172.28.114.200,4,0,"2804, 537",12089931-75326281
172.28.114.200,4,1,"2804, 537",12089931-75275147
172.28.114.200,4,2,"2804, 537",12089931-75326282
172.28.114.200,4,3,"2804, 537",12089931-75275148
172.28.114.200,4,4,"2804, 537",12089931-75326283
172.28.114.200,4,5,"2804, 537",12089931-75275149
172.28.114.200,4,6,"2804, 537",12089931-75326284
172.28.114.200,4,7,"2804, 537",12089931-75275150
172.28.114.200,4,8,"2804, 537",12089931-75326285
172.28.114.200,4,9,"2804, 537",12089931-75275151
172.28.114.200,4,10,"2804, 537",12089931-75326286
172.28.114.200,4,11,"2804, 537",12089931-75275152
172.28.114.200,4,12,"2804, 537",12089931-75326287
172.28.114.200,4,13,"2804, 537",12089931-75275153
172.28.114.200,4,14,"2804, 537",12089931-75326288
172.28.114.200,4,15,"2804, 537",12089931-75275154
172.28.114.200,5,0,"2804, 537",12089934-75326395
172.28.114.200,5,1,"2804, 537",12089934-75275262
172.28.114.200,5,2,"2804, 537",12089934-75326396
172.28.114.200,5,3,"2804, 537",12089934-75275263
172.28.114.200,5,4,"2804, 537",12089934-75326397
172.28.114.200,5,5,"2804, 537",12089934-75275264
172.28.114.200,5,6,"2804, 537",12089934-75326398
172.28.114.200,5,7,"2804, 537",12089934-75275265
172.28.114.200,5,8,"2804, 537",12089934-75326399
172.28.114.200,5,9,"2804, 537",12089934-75275266
172.28.114.200,5,10,"2804, 537",12089934-75326400
172.28.114.200,5,11,"2804, 537",12089934-75275267
172.28.114.200,5,12,"2804, 537",12089934-75326401
172.28.114.200,5,13,"2804, 537",12089934-75275268
172.28.114.200,5,14,"2804, 537",12089934-75326402
172.28.114.200,5,15,"2804, 537",12089934-75275269
172.28.114.200,6,0,"2804, 537",12225705-75275328
172.28.114.200,6,1,"2804, 537",12225705-75326461
172.28.114.200,6,2,"2804, 537",12225705-75275329
172.28.114.200,6,3,"2804, 537",12225705-75326462
172.28.114.200,6,4,"2804, 537",12225705-75275330
172.28.114.200,6,5,"2804, 537",12225705-75326463
172.28.114.200,6,6,"2804, 537",12225705-75275331
172.28.114.200,6,7,"2804, 537",12225705-75326464
172.28.114.200,6,8,"2804, 537",12225705-75275332
172.28.114.200,6,9,"2804, 537",12225705-75326465
172.28.114.200,6,10,"2804, 537",12225705-75275333
172.28.114.200,6,11,"2804, 537",12225705-75326466
172.28.114.200,6,12,"2804, 537",12225705-75275334
172.28.114.200,6,13,"2804, 537",12225705-75326467
172.28.114.200,6,14,"2804, 537",12225705-75275335
172.28.114.200,6,15,"2804, 537",12225705-75326468
172.28.114.200,7,0,"2804, 537",12089943-75275416
172.28.114.200,7,1,"2804, 537",12089943-75326549
172.28.114.200,7,2,"2804, 537",12089943-75275417
172.28.114.200,7,3,"2804, 537",12089943-75326550
172.28.114.200,7,4,"2804, 537",12089943-75275418
172.28.114.200,7,5,"2804, 537",12089943-75326551
172.28.114.200,7,6,"2804, 537",12089943-75275419
172.28.114.200,7,7,"2804, 537",12089943-75326552
172.28.114.200,7,8,"2804, 537",12089943-75275420
172.28.114.200,7,9,"2804, 537",12089943-75326553
172.28.114.200,7,10,"2804, 537",12089943-75275421
172.28.114.200,7,11,"2804, 537",12089943-75326554
172.28.114.200,7,12,"2804, 537",12089943-75275422
172.28.114.200,7,13,"2804, 537",12089943-75326555
172.28.114.200,7,14,"2804, 537",12089943-75275423
172.28.114.200,7,15,"2804, 537",12089943-75326556
172.28.114.200,8,0,"2804, 537",12225718-75275604
172.28.114.200,8,1,"2804, 537",12225718-75275605
172.28.114.200,8,2,"2804, 537",12225718-75275606
172.28.114.200,8,3,"2804, 537",12225718-75275607
172.28.114.200,8,4,"2804, 537",12225718-75275608
172.28.114.200,8,5,"2804, 537",12225718-75275609
172.28.114.200,8,6,"2804, 537",12225718-75275610
172.28.114.200,8,7,"2804, 537",12225718-75275611
172.28.114.200,8,8,"2804, 537",12225718-75275612
172.28.114.200,8,9,"2804, 537",12225718-75275613
172.28.114.200,8,10,"2804, 537",12225718-75275614
172.28.114.200,8,11,"2804, 537",12225718-75275615
172.28.114.200,8,12,"2804, 537",12225718-75275616
172.28.114.200,8,13,"2804, 537",12225718-75275617
172.28.114.200,8,14,"2804, 537",12225718-75275618
172.28.114.200,8,15,"2804, 537",12225718-75275619
172.28.114.200,11,0,"2804, 537",12089990-75276076
172.28.114.200,11,1,"2804, 537",12089990-75276077
172.28.114.200,11,2,"2804, 537",12089990-75276078
172.28.114.200,11,3,"2804, 537",12089990-75276079
172.28.114.200,11,4,"2804, 537",12089990-75276080
172.28.114.200,11,5,"2804, 537",12089990-75276081
172.28.114.200,11,6,"2804, 537",12089990-75276082
172.28.114.200,11,7,"2804, 537",12089990-75276083
172.28.114.200,11,8,"2804, 537",12089990-75276084
172.28.114.200,11,9,"2804, 537",12089990-75276085
172.28.114.200,11,10,"2804, 537",12089990-75276086
172.28.114.200,11,11,"2804, 537",12089990-75276087
172.28.114.200,11,12,"2804, 537",12089990-75276088
172.28.114.200,11,13,"2804, 537",12089990-75276089
172.28.114.200,11,14,"2804, 537",12089990-75276090
172.28.114.200,11,15,"2804, 537",12089990-75276091
172.28.114.200,12,0,"2804, 537",12089999-75276188
172.28.114.200,12,1,"2804, 537",12089999-75276189
172.28.114.200,12,2,"2804, 537",12089999-75276190
172.28.114.200,12,3,"2804, 537",12089999-75276191
172.28.114.200,12,4,"2804, 537",12089999-75276192
172.28.114.200,12,5,"2804, 537",12089999-75276193
172.28.114.200,12,6,"2804, 537",12089999-75276194
172.28.114.200,12,7,"2804, 537",12089999-75276195
172.28.114.200,12,8,"2804, 537",12089999-75276196
172.28.114.200,12,9,"2804, 537",12089999-75276197
172.28.114.200,12,10,"2804, 537",12089999-75276198
172.28.114.200,12,11,"2804, 537",12089999-75276199
172.28.114.200,12,12,"2804, 537",12089999-75276200
172.28.114.200,12,13,"2804, 537",12089999-75276201
172.28.114.200,12,14,"2804, 537",12089999-75276202
172.28.114.200,12,15,"2804, 537",12089999-75276203
172.28.114.200,13,0,"2804, 537",12090005-75276300
172.28.114.200,13,1,"2804, 537",12090005-75276301
172.28.114.200,13,2,"2804, 537",12090005-75276302
172.28.114.200,13,3,"2804, 537",12090005-75276303
172.28.114.200,13,4,"2804, 537",12090005-75276304
172.28.114.200,13,5,"2804, 537",12090005-75276305
172.28.114.200,13,6,"2804, 537",12090005-75276306
172.28.114.200,13,7,"2804, 537",12090005-75276307
172.28.114.200,13,8,"2804, 537",12090005-75276308
172.28.114.200,13,9,"2804, 537",12090005-75276309
172.28.114.200,13,10,"2804, 537",12090005-75276310
172.28.114.200,13,11,"2804, 537",12090005-75276311
172.28.114.200,13,12,"2804, 537",12090005-75276312
172.28.114.200,13,13,"2804, 537",12090005-75276313
172.28.114.200,13,14,"2804, 537",12090005-75276314
172.28.114.200,13,15,"2804, 537",12090005-75276315
172.28.114.200,14,0,"2804, 537",12090013-75276380
172.28.114.200,14,1,"2804, 537",12090013-75276381
172.28.114.200,14,2,"2804, 537",12090013-75276382
172.28.114.200,14,3,"2804, 537",12090013-75276383
172.28.114.200,14,4,"2804, 537",12090013-75276384
172.28.114.200,14,5,"2804, 537",12090013-75276385
172.28.114.200,14,6,"2804, 537",12090013-75276386
172.28.114.200,14,7,"2804, 537",12090013-75276387
172.28.114.200,14,8,"2804, 537",12090013-75276388
172.28.114.200,14,9,"2804, 537",12090013-75276389
172.28.114.200,14,10,"2804, 537",12090013-75276390
172.28.114.200,14,11,"2804, 537",12090013-75276391
172.28.114.200,14,12,"2804, 537",12090013-75276392
172.28.114.200,14,13,"2804, 537",12090013-75276393
172.28.114.200,14,14,"2804, 537",12090013-75276394
172.28.114.200,14,15,"2804, 537",12090013-75276395
172.28.114.200,15,0,"2804, 537",12090022-75276448
172.28.114.200,15,1,"2804, 537",12090022-75276449
172.28.114.200,15,2,"2804, 537",12090022-75276450
172.28.114.200,15,3,"2804, 537",12090022-75276451
172.28.114.200,15,4,"2804, 537",12090022-75276452
172.28.114.200,15,5,"2804, 537",12090022-75276453
172.28.114.200,15,6,"2804, 537",12090022-75276454
172.28.114.200,15,7,"2804, 537",12090022-75276455
172.28.114.200,15,8,"2804, 537",12090022-75276456
172.28.114.200,15,9,"2804, 537",12090022-75276457
172.28.114.200,15,10,"2804, 537",12090022-75276458
172.28.114.200,15,11,"2804, 537",12090022-75276459
172.28.114.200,15,12,"2804, 537",12090022-75276460
172.28.114.200,15,13,"2804, 537",12090022-75276461
172.28.114.200,15,14,"2804, 537",12090022-75276462
172.28.114.200,15,15,"2804, 537",12090022-75276463
172.28.114.201,1,0,"2805, 564",12090041-75276716
172.28.114.201,1,1,"2805, 564",12090041-75276717
172.28.114.201,1,2,"2805, 564",12090041-75276718
172.28.114.201,1,3,"2805, 564",12090041-75276719
172.28.114.201,1,4,"2805, 564",12090041-75276720
172.28.114.201,1,5,"2805, 564",12090041-75276721
172.28.114.201,1,6,"2805, 564",12090041-75276722
172.28.114.201,1,7,"2805, 564",12090041-75276723
172.28.114.201,1,8,"2805, 564",12090041-75276724
172.28.114.201,1,9,"2805, 564",12090041-75276725
172.28.114.201,1,10,"2805, 564",12090041-75276726
172.28.114.201,1,11,"2805, 564",12090041-75276727
172.28.114.201,1,12,"2805, 564",12090041-75276728
172.28.114.201,1,13,"2805, 564",12090041-75276729
172.28.114.201,1,14,"2805, 564",12090041-75276730
172.28.114.201,1,15,"2805, 564",12090041-75276731
172.28.114.201,2,0,"2805, 564",12090044-75276748
172.28.114.201,2,1,"2805, 564",12090044-75276749
172.28.114.201,2,2,"2805, 564",12090044-75276750
172.28.114.201,2,3,"2805, 564",12090044-75276751
172.28.114.201,2,4,"2805, 564",12090044-75276752
172.28.114.201,2,5,"2805, 564",12090044-75276753
172.28.114.201,2,6,"2805, 564",12090044-75276754
172.28.114.201,2,7,"2805, 564",12090044-75276755
172.28.114.201,2,8,"2805, 564",12090044-75276756
172.28.114.201,2,9,"2805, 564",12090044-75276757
172.28.114.201,2,10,"2805, 564",12090044-75276758
172.28.114.201,2,11,"2805, 564",12090044-75276759
172.28.114.201,2,12,"2805, 564",12090044-75276760
172.28.114.201,2,13,"2805, 564",12090044-75276761
172.28.114.201,2,14,"2805, 564",12090044-75276762
172.28.114.201,2,15,"2805, 564",12090044-75276763
172.28.114.201,3,0,"2805, 564",12090051-75276780
172.28.114.201,3,1,"2805, 564",12090051-75276781
172.28.114.201,3,2,"2805, 564",12090051-75276782
172.28.114.201,3,3,"2805, 564",12090051-75276783
172.28.114.201,3,4,"2805, 564",12090051-75276784
172.28.114.201,3,5,"2805, 564",12090051-75276785
172.28.114.201,3,6,"2805, 564",12090051-75276786
172.28.114.201,3,7,"2805, 564",12090051-75276787
172.28.114.201,3,8,"2805, 564",12090051-75276788
172.28.114.201,3,9,"2805, 564",12090051-75276789
172.28.114.201,3,10,"2805, 564",12090051-75276790
172.28.114.201,3,11,"2805, 564",12090051-75276791
172.28.114.201,3,12,"2805, 564",12090051-75276792
172.28.114.201,3,13,"2805, 564",12090051-75276793
172.28.114.201,3,14,"2805, 564",12090051-75276794
172.28.114.201,3,15,"2805, 564",12090051-75276795
172.28.114.201,4,0,"2805, 564",12090054-75276812
172.28.114.201,4,1,"2805, 564",12090054-75276813
172.28.114.201,4,2,"2805, 564",12090054-75276814
172.28.114.201,4,3,"2805, 564",12090054-75276815
172.28.114.201,4,4,"2805, 564",12090054-75276816
172.28.114.201,4,5,"2805, 564",12090054-75276817
172.28.114.201,4,6,"2805, 564",12090054-75276818
172.28.114.201,4,7,"2805, 564",12090054-75276819
172.28.114.201,4,8,"2805, 564",12090054-75276820
172.28.114.201,4,9,"2805, 564",12090054-75276821
172.28.114.201,4,10,"2805, 564",12090054-75276822
172.28.114.201,4,11,"2805, 564",12090054-75276823
172.28.114.201,4,12,"2805, 564",12090054-75276824
172.28.114.201,4,13,"2805, 564",12090054-75276825
172.28.114.201,4,14,"2805, 564",12090054-75276826
172.28.114.201,4,15,"2805, 564",12090054-75276827
172.28.114.201,5,0,"2805, 564",12090056-75276832
172.28.114.201,5,1,"2805, 564",12090056-75276833
172.28.114.201,5,2,"2805, 564",12090056-75276834
172.28.114.201,5,3,"2805, 564",12090056-75276835
172.28.114.201,5,4,"2805, 564",12090056-75276836
172.28.114.201,5,5,"2805, 564",12090056-75276837
172.28.114.201,5,6,"2805, 564",12090056-75276838
172.28.114.201,5,7,"2805, 564",12090056-75276839
172.28.114.201,5,8,"2805, 564",12090056-75276840
172.28.114.201,5,9,"2805, 564",12090056-75276841
172.28.114.201,5,10,"2805, 564",12090056-75276842
172.28.114.201,5,11,"2805, 564",12090056-75276843
172.28.114.201,5,12,"2805, 564",12090056-75276844
172.28.114.201,5,13,"2805, 564",12090056-75276845
172.28.114.201,5,14,"2805, 564",12090056-75276846
172.28.114.201,5,15,"2805, 564",12090056-75276847
172.28.114.201,6,0,"2805, 564",12090059-75276848
172.28.114.201,6,1,"2805, 564",12090059-75276849
172.28.114.201,6,2,"2805, 564",12090059-75276850
172.28.114.201,6,3,"2805, 564",12090059-75276851
172.28.114.201,6,4,"2805, 564",12090059-75276852
172.28.114.201,6,5,"2805, 564",12090059-75276853
172.28.114.201,6,6,"2805, 564",12090059-75276854
172.28.114.201,6,7,"2805, 564",12090059-75276855
172.28.114.201,6,8,"2805, 564",12090059-75276856
172.28.114.201,6,9,"2805, 564",12090059-75276857
172.28.114.201,6,10,"2805, 564",12090059-75276858
172.28.114.201,6,11,"2805, 564",12090059-75276859
